question,context,long_answer,final_decision,pubid
Does hydrogen sulfide open the KATP channel on rat atrial and ventricular myocytes?,"Hydrogen sulfide (H(2)S), an endogenous gaseous transmitter, was found to protect the heart from various forms of injury, but the underlying mechanism is not known. H(2)S can open the K(ATP) channel on vascular smooth muscle cells, and the objective of this study was to determine whether H(2)S can open the K(ATP) channel on myocardiocytes. The whole-cell patch-clamp technique was used to record I(K,ATP) and action potentials of atrial and ventricular myocytes isolated from the hearts of male Wistar rats. Sodium hydrogen sulfide (NaHS) was used as a donor of H(2)S to observe the effect of exogenous H(2)S on I(K,ATP). DL-propargylglycine (PPG), an inhibitor of the synthesis of H(2)S, was used at a concentration of 200 microM to observe the effect of endogenous H(2)S on I(K,ATP). NaHS at concentrations (in microM) of 9.375, 18.75, 37.5, 75 and 150 increased I(K,ATP) by 12.8% (p > 0.05), 28.4% (p < 0.05), 38.8% (p < 0.01), 51.2% (p < 0.01) and 58.6% (p< 0.01) on ventricular myocytes, respectively, and by 6.8% (p > 0.05), 10.4% (p > 0.05), 18.9% (p < 0.01), 24.8% (p < 0.01) and 37.2% (p < 0.01) on atrial myocytes, respectively. The H(2)S-induced decrease in the duration of action potentials (APD(90)) of ventricular myocytes was concentration-dependent, although only NaHS at a concentration of 150 microM decreased the APD(90) significantly (15%, p < 0.05). The H(2)S-induced decrease in APD(90) on atrial myocytes was concentration dependent, but the statistical difference was not significant. Inhibition of I(K,ATP) by PPG was time dependent and the level of inhibition was: ventricular myocytes, 7% (p > 0.05), 10% (p < 0.05), 15.3% (p < 0.01), 24.0% (p < 0.01) and 28.9% (p < 0.01); atrial myocytes, 15.8% (p > 0.05), 21.3% (p > 0.05), 26.5% (p < 0.01), 34.0% (p < 0.01) and 43.2% (p < 0.01) measured at 5, 10, 15, 20 and 25 min, respectively. The increase in the APD(90), by PPG was time dependent for ventricular myocytes [increased by 12.8% (p < 0.05) at 25 min]. The same was true for atrial myocytes, although only the value at 25 min was significant (15%, p < 0.05).","H(2)S decreased the APD(90),and both the endogenous and exogenous H(2)S-induced increase in I(K,ATP) on both atrial and ventricular myocytes was concentration dependent. These results may help to explain, at least in part, how H(2)S protects heart cells from various forms of injury.",yes,19940474
Do elderly outpatients respond favorably to a physician-initiated advance directive discussion?,"Little is known about the emotional impact of physician-initiated advance directive discussions. One hundred ambulatory patients aged 65 years and older were randomly assigned to receive either a physician-initiated discussion of advance directive choices of a discussion of health promotion issues. Prediscussion, immediate postdiscussion, and 1-week postdiscussion measures of positive and negative affect were measured for both groups. Neither discussion topic resulted in adverse emotional or attitudinal responses. Only the advance directive participants showed positive affective and attitudinal responses to the discussion, including an increase in positive affect, an increased sense of physician-patient understanding, and increased thought and discussion about life-support issues in the week following the discussion. For those participants receiving the advance directive discussion, longer physician-patient relationships and higher educational levels significantly predicted a more positive affective response. Lower scores on indices of mental and physical health and a stronger belief that physicians should discuss advance directive issues significantly predicted a more negative affective response to the advance directive discussion.",Physicians should anticipate positive emotional responses when they initiate advance directive discussions with their elderly outpatients. Advance directive discussions will be received most positively by patients who enjoy good psychological and physical health and when initiated in the context of an established physician-patient relationship.,yes,8213238
Is mild heart failure a mortality marker after a non-ST-segment acute myocardial infarction?,"The Killip classification categorizes heart failure (HF) in acute myocardial infarction, and has a prognostic value. Although non-ST-elevation myocardial infarction (NSTEMI) is increasing steadily, little information is available about the prognostic value of low Killip class in this scenario. Our aim was to assess the prognostic value of mild HF in NSTEMI. 835 patients with NSTEMI between 2005 and 2007 were prospectively recruited. Patients in Killip-1 (K1=684) or Killip-2 class (K2=113) were selected (38, with K>2, excluded). Clinical, angiographic, treatment strategies, and 30-day all-cause mortality, together with other cardiovascular outcomes were recorded. K2 patients were mostly women (K1 27.9% vs K2 48.0%, p<0.001) and older (K1 66.6years vs K2 73.8years, p<0.001) with a higher frequency of diabetes mellitus (p<0.001) and hypertension (p<0.001). Smoking was less frequent in the K2-group (p=0.003). A previous infarction/revascularization history was similar in both groups. The infarction size, assessed by Troponin I/Creatin kinase, did not differ between groups (p=0.378 and p=0.855). Multivessel coronary disease and revascularization procedures were less common in group K2 (p=0.015 and p=0.005 vs group K1, respectively). Patients in K2 had a worse prognosis in terms of maximum Killip class, death and major adverse cardiovascular events (p<0.001). After multivariate analysis, mild HF at presentation was an independent risk factor for mortality (OR=6.50; IC 95%: 2.48-16.95; p<0.001).","Mild HF at presentation in NSTEMI is linked to a poor prognosis, with increased short-term mortality. Thus, a more aggressive approach including early cardiac catheterization and revascularization should be considered.",yes,20816601
Does a multi-centre clinico-genetic analysis of the VPS35 gene in Parkinson disease indicate reduced penetrance for disease-associated variants?,"Two recent studies identified a mutation (p.Asp620Asn) in the vacuolar protein sorting 35 gene as a cause for an autosomal dominant form of Parkinson disease . Although additional missense variants were described, their pathogenic role yet remains inconclusive. We performed the largest multi-center study to ascertain the frequency and pathogenicity of the reported vacuolar protein sorting 35 gene variants in more than 15,000 individuals worldwide. p.Asp620Asn was detected in 5 familial and 2 sporadic PD cases and not in healthy controls, p.Leu774Met in 6 cases and 1 control, p.Gly51Ser in 3 cases and 2 controls. Overall analyses did not reveal any significant increased risk for p.Leu774Met and p.Gly51Ser in our cohort.","Our study apart from identifying the p.Asp620Asn variant in familial cases also identified it in idiopathic Parkinson disease cases, and thus provides genetic evidence for a role of p.Asp620Asn in Parkinson disease in different populations worldwide.",yes,23125461
Does postoperative orgasmic function increase over time in patients undergoing nerve-sparing radical prostatectomy?,"Postprostatectomy orgasmic function (OF) remains poorly defined. To assess OF over time in patients who underwent bilateral nerve-sparing radical retropubic prostatectomy (BNSRRP) for organ-confined prostate cancer (PCa). Baseline data were obtained from 334 consecutive preoperatively sexually active PCa patients at hospital admission; data included a medical and sexual history, IIEF domain scores, and ICIQ-SF. Questionnaire were then completed every 12 months postoperatively, and patients participated in a semistructured interview at the 12-month (191/334 [57.2%] patients), 24-month (95/334 [28.4%] patients), 36-month (42/334 [12.6%] patients), and 48-month (19/334 [5.7%] patients) follow-up (FU). IIEF-OF domain values throughout the FU. Multivariate linear regression analysis (MVA) of the association between predictors (patient's age, IIEF-erectile function [EF], ICIQ-SF, and the use of postoperative proerectile pharmacological treatments) and the IIEF-OF at 12-month, 24-month, and 36-month FU. Preoperative mean (median) IIEF-OF was 7.6 (10). The anova analysis showed an increase of the IIEF-OF values (P = 0.008; F = 4.009) throughout the FU (namely, IIEF-OF 12-month: 6.1 [6]; 24-month: 7.2 [8]; 36-month: 7.3 [8]; and 48-month: 7.7 [9.50]). The 12-month MVA showed that while proerectile oral therapy did not affect postoperative OF (P = 0.150; Beta 0.081), IIEF-OF linearly increased with IIEF-EF (P < 0.001; Beta 0.425). Conversely, IIEF-OF linearly decreased with patient's age (P < 0.001; Beta -0.135) and with ICQ-SF scores (P < 0.001; Beta -0.438). The 24-month and 36-month analyses showed that IIEF-OF still linearly increased with IIEF-EF (P < 0.001; Beta 0.540, and P < 0.001; Beta 0.536 respectively at the 24- and 36-month FU), whereas pharmacological therapy, rate of urinary continence, and patient's age did not significantly affect postoperative OF.","Postoperative OF significantly ameliorates over time in patients undergoing BNSRRP. The higher the postoperative EF score, the higher the OF throughout the FU time frame.",yes,19796018
"Is cachexia in rheumatoid arthritis associated with inflammatory activity , physical disability , and low bioavailable insulin-like growth factor?","To examine the impact of inflammation, insulin-like growth factor (IGF-1) and its regulating binding protein (IGFBP-1) on lean body mass (LBM) in patients with rheumatoid arthritis (RA). In 60 inpatients (50 women), inflammatory activity was measured by Disease Activity Score 28 (DAS28), C-reactive protein (CRP), and interleukin (IL)-6, and physical disability by the Health Assessment Questionnaire (HAQ). LBM was assessed by dual-energy X-ray absorptiometry (DXA) and fat free mass index (FFMI; kg/m(2)) and fat mass index (FMI; kg/m(2)) were calculated. Median age was 65 years and disease duration 13 years. Fifty per cent of the patients had FFMI below the 10th percentile of a reference population and 45% had FMI above the 90th percentile, corresponding to the condition known as rheumatoid cachexia (loss of muscle mass in the presence of stable or increased FM). DAS28, CRP, and IL-6 correlated negatively with LBM (p = 0.001, 0.001, and 0.018, respectively), as did HAQ (p = 0.001). Mean (confidence interval) IGF-1 was in the normal range, at 130 (116-143) microg/L. IGFBP-1 levels were elevated in patients (median 58 microg/L in women and 59 microg/L in men) compared with a normal population (33 microg/L in women and 24 microg/L in men). The ratio IGF-1/IGFBP-1, which reflects bioavailable IGF-1, was low (2.0 microg/L) and was positively correlated with LBM (p = 0.015). In multiple regression analysis, 42% of the LBM variance was explained by IGF-1/IGFBP-1, HAQ score, and DAS28.","A large proportion of RA inpatients, mainly women, had rheumatoid cachexia. The muscle wasting was explained by inflammatory activity and physical disability as well as low bioavailable IGF-1.",yes,18666027
Is augmentation of nitric oxide crucial for the time-dependent effects of rosiglitazone on blood pressure and baroreflex function in rats?,"To determine the time-dependent effects of rosiglitazone (RSG) on blood pressure (MAP) and baroreflex sensitivity (BRS) and the involvement of nitric oxide (NO) in these effects. Male Sprague-Dawley rats were treated with RSG (8 mg/kg per day, orally) or saline for 4, 8 and 12 weeks. BRS was determined by linear regression method with bolus injections of phenylephrine (PE-BRS) or sodium nitroprusside (NP-BRS). Insulin sensitivity (M value) was determined by euglycemic hyperinsulinemic clamp study. Vascular and cardiac responsiveness to isoproterenol, acetylcholine and NP were determined after ganglionic blockade. Effects of endogenous NO were examined by Nomega-nitro-L-arginine-methyl ester (L-NAME) administration. RSG treatment time-dependently decreased circulating lipids, insulin, glucose levels and insulin resistance (HOMA-IR) but increased plasma NOx levels. M values were progressively decreased in control rats, but remained unchanged in RSG-treated rats. Chronic RSG treatment progressively lowered MAP but reciprocally increased heart rate (HR). In addition, chronic RSG treatment significantly attenuated HR changes to methylatropine but enhanced HR changes to propranolol. Twelve-week RSG treatment enhanced PE-BRS which was suppressed by methylatropine but not propranolol, and attenuated NP-BRS which was sustained after methylatropine or propranolol. Moreover, 12-week RSG treatment also diminished cardiac responsiveness to isoproterenol and augmented vascular responsiveness to acetylcholine, but not to NP. L-NAME eliminated the differences in MAP and HR between groups, and reversed both RSG-induced enhanced PE-BRS and attenuated NP-BRS. Plasma NOx levels were highly correlated with RSG-mediated changes in the baseline MAP, HR and BRS.",These data suggest that RSG-induced NO production is important for the time-dependent effects of RSG on MAP and BRS in rats.,yes,18090544
Does [ TNM-Classification of localized prostate cancer : The clinical T-category correspond to the required demands ]?,"The TNM staging system for localized prostate cancer (PCa) divides tumors based on clinical parameters into a clinical (c)T category and, after radical prostatectomy (RP), a pathological (p)T category. This study examines the extent to which the cT and the pT category correspond to each other and whether the two categories differ in their prediction for organ-confined disease. Data of 687 RP patients were collected in a prospective, noninterventional, multicenter health service research study for the treatment of localized PCa (HAROW). Group comparisons were performed by analysis of variance and student t‑test as well as the chi-squared test or the Fisher exact test. Clinical cT1 category (62.9%) and pathological pT2c category (56.6%) were diagnosed most frequently. The correspondence of cT and pT category was 15% for cT2a , 10.5% for cT2b, and 55% for cT2c. An extraprostatic extension (≥pT3) was observed for the categories cT1 and cT2 in 23.5% and 36.4% (p < 0.001), differences in the subcategories cT2a-c were not significant: cT2a = 28.8%, cT2b = 42.1%, and cT2c = 38.8% (p = 0.194). Tumors with a pathologically extraprostatic extension were not recognized clinically in >50%.","For localized PCa there is low agreement between clinical and pathologic T category, thus, often leading to understaging. An adaptation of the T classification of the TNM system with division into ""not palpable"" and ""palpable"" appears sufficient for a prognostic prediction.",no,27830286
Does insulin glulisine provide improved glycemic control in patients with type 2 diabetes?,"Insulin glulisine is a novel analog of human insulin designed for use as a rapid-acting insulin. This study compared the safety and efficacy of glulisine with regular human insulin (RHI) in combination with NPH insulin. In total, 876 relatively well-controlled patients with type 2 diabetes (mean HbA1c 7.55%) were randomized and treated with glulisine/NPH (n = 435) or RHI/NPH (n = 441) for up to 26 weeks in this randomized, multicenter, multinational, open-label, parallel-group study. Subjects were allowed to continue the same dose of prestudy regimens of oral antidiabetic agent (OAD) therapy (unless hypoglycemia necessitated a dose change). A slightly greater reduction from baseline to end point of HbA1c was seen in the glulisine group versus RHI (-0.46 vs. -0.30% with RHI; P = 0.0029). Also, at end point, lower postbreakfast (156 vs. 162 mg/dl [8.66 vs. 9.02 mmol/l]; P < 0.05) and postdinner (154 vs. 163 mg/dl [8.54 vs. 9.05 mmol/l]; P < 0.05) blood glucose levels were noted. Symptomatic hypoglycemia (overall, nocturnal, and severe) and weight gain were comparable between the two treatment groups. There were no between-group differences in baseline-to-end point changes in insulin dose.",Twice-daily glulisine associated with NPH can provide small improvements in glycemic control compared with RHI in patients with type 2 diabetes who are already relatively well controlled on insulin alone or insulin plus OADs. The clinical relevance of such a difference remains to be established.,yes,15451901
Does the influence of β-tricalcium phosphate block containing extracellular matrix on osteogenic differentiation of rat bone marrow stromal cells?,"The aim of the present study is to assess the osteogenic differentiation of rat bone marrow stromal cells (RBMCs) in β-tricalcium phosphate (β-TCP) blocks containing extracellular matrix (ECM) produced by human alveolar bone periosteal cells (HABPCs). HABPCs were cultured in β-TCP blocks for 1 week (group 1) and 2 weeks (group 2). β-TCP blocks containing ECM were then created by drying the blocks for 3 days. RBMCs were cultured in the blocks containing ECM for 2 weeks. In the control group, RBMCs were cultured in β-TCP blocks alone for 2 weeks. HABPCs and RBMCs in the blocks were examined by histologic and immunohistochemical analyses. Histology revealed a significantly higher number of HABPCs in the group 2 blocks than in the group 1 blocks. HABPCs produced several bone matrix proteins in the blocks, and these positive reactions in group 2 were significantly higher than in group 1. Both groups showed a significantly higher number of RBMCs than the control group. RBMCs produced osteopontin and osteocalcin in the blocks, and these positive reactions were significantly higher in both test groups than in the control group. The number of osteocalcin-positive reactions was higher in group 2 than in group 1.",Osteogenic differentiation of RBMCs cultured for 2 weeks in β-TCP blocks containing ECM was significantly higher than that of cells cultured for 1 week or without ECM.,yes,23205920
Does flagellin suppress experimental asthma by generating regulatory dendritic cells and T cells?,"Although the hygiene hypothesis suggests that microbial infections could subvert asthma and thus a microbial product might serve as a therapeutic adjuvant for asthma, the relationship between bacterial components and asthma is complex. Recently, low levels of flagellin, the Toll-like receptor (TLR) 5 ligand, have been reported to promote asthma. We show that a therapeutic dose of flagellin suppresses asthma and that the effect occurs through generating regulatory dendritic cells (rDCs) and regulatory T (Treg) cells. Ovalbumin (OVA)-induced wild-type and TLR5 knockout asthmatic mice were treated intranasally with a mixture of OVA and 10 μg of a flagellin B (FlaB; of Vibrio vulnificus). OVA/FlaB-treated rDCs were adoptively transferred to mice with OVA-induced asthma. Anti-CD25 mAb was used to deplete Treg cells. A mixture of house dust mite (HDM) and FlaB was used to treat mice with HDM-induced asthma. Blood CD14(+) monocyte-derived dendritic cells from HDM-sensitive asthmatic patients were treated with FlaB and incubated with autologous CD4(+) T cells. An OVA/FlaB mixture ameliorated OVA-induced asthma by inhibiting TH1/TH2/TH17 responses in a TLR5-dependent manner through generating rDCs and Treg cells. The adoptive transfer of OVA/FlaB-treated dendritic cells inhibited OVA-induced asthma, whereas the depletion of CD25(+) cells eliminated the inhibitory effect. A similar effect of FlaB was observed in mice with HDM-induced asthma. In patients with HDM-sensitive asthma, FlaB-treated rDCs inhibited HDM-stimulated TH1/TH2 responses while enhancing Treg cells in an IL-10-dependent manner.",These findings collectively suggest that flagellin could be used as a tolerogenic adjuvant to treat allergic asthma.,yes,26303344
Is gATA-1 testis activation region essential for Sertoli cell-specific expression of GATA-1 gene in transgenic mouse?,"The erythroid transcription factor GATA-1 is also expressed in Sertoli cells of the testis. The testicular expression of GATA-1 is regulated in a developmental and spermatogenic stage-specific manner. To further clarify the regulatory mechanisms of testicular GATA-1 gene expression, we carried out transgenic reporter gene expression analyses. We found that GATA-1 expression in Sertoli cells is markedly decreased concomitant with the emergence of elongated spermatids in the seminiferous tubules. Transgenic reporter mouse analyses revealed that a 15 kb GATA-1 genomic region is sufficient to recapitulate the gene expression profile in Sertoli cells. While the GATA-1 haematopoietic enhancer and the proximal first exon are included within the 15 kb genomic region, these regulatory elements are not essential for GATA-1 expression in Sertoli cells. Further analyses using deletion constructs revealed that a 1.5 kb region 5' to the GATA-1 haematopoietic enhancer is essential for gene expression in Sertoli cells and this region is referred to as the GATA-1 testis activation region.",These results thus demonstrated that the GATA-1 testis activation region is essential for Sertoli cell-specific expression of GATA-1 gene. The 15 kb genomic region is applicable and useful for the expression vector system specific for adult Sertoli cells in stage VII to IX.,yes,12839622
Does iL-22-STAT3 pathway play a key role in the maintenance of ileal homeostasis in mice lacking secreted mucus barrier?,"Muc2-deficient mice show no signs of ileal pathology but the mechanisms remained unknown. Wild-type (WT), Muc2, and Muc2 mice were killed at 2, 4, and 8 weeks of age. Total RNA from ileum was used for full genome transcriptome analysis and qPCR. Microbiota composition was determined using a mouse intestinal chip (MITChip). Morphological and immunohistological studies were performed on segments of ileum. The ileum was colonized by more diverse microbiota in young (week 4) WT than in Muc2 mice, and composition was influenced by genotype. Weaning was associated with major changes in the transcriptome of all mice, and the highest number of differentially expressed genes compared with adults, reflecting temporal changes in microbiota. Although the spatial compartmentalization of bacteria was compromised in Muc2 mice, gene set enrichment analysis revealed a downregulation of Toll-like receptor, immune, and chemokine signaling pathways compared to WT mice. The predicted effects of enhanced IL-22 signaling were identified in the Muc2 transcriptome as the upregulation of epithelial cell proliferation altered expression of mitosis and cell-cycle control pathways. This is consistent with increased villus length and number of Ki67 epithelial cells in Muc2 mice. Additionally, expression of the network of IL-22 regulated defense genes, including Fut2, Reg3β, Reg3γ, Relmb, and the Defensin Defb46 were increased in Muc2 mice.",These findings highlight a role for the IL-22-STAT3 pathway in maintaining ileal homeostasis when the mucus barrier is compromised and its potential as a target for novel therapeutic strategies in inflammatory bowel disease.,yes,25636123
Does lymph node involvement in colon cancer patients decrease with age ; a population based analysis?,"The variation in nodal involvement between age groups has not been thoroughly studied in colon cancer, but it may affect strategies for extent of resection in elderly patients. The objective of our study was to compare nodal involvement in colon cancer patients, with a focus on surgical staging practices in the elderly. We extracted data from the Surveillance, Epidemiology and End Results registry on 208,077 patients diagnosed with stage I-III colon adenocarcinoma between 2000 and 2010. Patients undergoing colon resection, patients with adequate staging with ≥12 lymph nodes examined (LNE, n = 114,351) and with node-positive cancers were compared in age groups using chi-squared test. Relative risk (RR) of node-positive cancer was compared in a multivariable log-linear model, and relative survival in a flexible parametric model. While the rates of colon resection were similar in all age groups, older patients were significantly less likely to have ≥12 LNE (P < 0.0001). When adequately staged, older patients had a significantly lower proportion of node-positive cancers (P < 0.0001). Survival was better in patients with ≥12 LNE, with no significant difference in the benefit between the age groups (P = 0.25).","When adequately staged, older patients are less likely to have node positive colon cancer, which may help them avoid adjuvant chemotherapy. Since the survival benefit of adequate nodal staging is similar in every age group, the guidelines for extent of resection and pathological examination should be diligently adhered to in all patients undergoing curative surgery, regardless of age.",yes,25027280
