question,label,doc_id,claim_id,evidence_docs
Gastric lavage is an effective treatment for acute paraquat poisoning.,NOT_ENOUGH_INFO,12209494,449,
General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.,REFUTE,4200695,453,4200695
General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,REFUTE,4200695,454,4200695
Genes involved in pre-mRNA splicing have a significant impact on genome stability.,SUPPORT,12643937,455,12643937
Genes regulated by Esrrb transcription factor are sensitive to Mbd3 function.,NOT_ENOUGH_INFO,30507607,456,
Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,SUPPORT,597790,458,597790
Genetic deletion of JAM-A increases gut permeability.,SUPPORT,40096222,461,40096222
Genomic aberrations of metastases provide information for targeted therapy.,SUPPORT,19736671,463,19736671
Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.,REFUTE,22544171,466,22544171
Glial calcium waves influence seizures.,SUPPORT,1410197,469,1410197
"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",SUPPORT,12685434,470,12685434
Glucose restriction to 0.05% reduces RLS (replicative life span) by 20-40% in S. cerevisiae.,NOT_ENOUGH_INFO,7185591,472,
Glycan adaptation involves insertion-deletion events.,NOT_ENOUGH_INFO,4373433,473,
Glycan adaptation is rarely observed in the B-cell repertoire.,NOT_ENOUGH_INFO,4373433,474,
Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,REFUTE,6325527,479,6325527
Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,SUPPORT,6325527,480,6325527
Guanine nucleotide dissociation inhibitor (Rho-GDI) interacts with the p75 NTR death domain,NOT_ENOUGH_INFO,14706752,481,
Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,SUPPORT,10991183,482,10991183
H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.,SUPPORT,22703082,483,22703082
"H4 G94P proteins induce chromatin assembly, which increases free histones.",NOT_ENOUGH_INFO,14637235,484,
H4 G94P proteins induce degradation of free histones via Rad53-dependent mechanisms.,NOT_ENOUGH_INFO,14637235,485,
"H4 G94P proteins inhibit chromatin assembly, which decreases free histones.",NOT_ENOUGH_INFO,14637235,486,
H4 G94P proteins suppress degradation of free histones via Rad53-dependent mechanisms.,NOT_ENOUGH_INFO,14637235,487,
HAND2 methylation is a key step in early endometrial carcinogenesis.,SUPPORT,1780819,488,1780819
HIV trans-activator protein (TAT) effectively transports large and small molecules across cellular membranes into larger populations of neurons.,NOT_ENOUGH_INFO,6625693,489,
HNF4A mutations are associated with macrosomia in infancy.,NOT_ENOUGH_INFO,56893404,490,
HOXB4 facilitates HSC expansion when co-cultured with HSCs.,NOT_ENOUGH_INFO,19583924,492,
HOXB4 is a highly expressed component of cellular secretome from fetal liver cell populations.,NOT_ENOUGH_INFO,19583924,493,
HSCT-T dosage may not be diagnostic if the onset of symptoms occurs less than 3 hours before AMI.,NOT_ENOUGH_INFO,34873974,494,
Having a main partner improves HIV outcomes.,SUPPORT,17077004,495,17077004
Having a main partner worsens HIV outcomes.,REFUTE,17077004,498,17077004
HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,REFUTE,26064662,499,26064662
Headaches are correlated with cognitive impairment.,REFUTE,17930286,500,17930286
Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,REFUTE,10883736,504,10883736
Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.,SUPPORT,22703082,505,22703082
Helminths interfere with immune system control of coinfections by microbial pathogens 16.,SUPPORT,7433668,506,7433668
Hematopoietic Stem Cell purification reaches purity rates above 90%.,NOT_ENOUGH_INFO,13980338,509,
High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,SUPPORT,29564505,515,29564505
"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.",REFUTE,14803797,523,14803797
"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",SUPPORT,14803797,524,14803797
Homozygous deletion of murine Sbds gene from osterix-expressing mesenchymal stem and progenitor cells (MPCs) induces oxidative stress.,NOT_ENOUGH_INFO,3863543,526,
Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,SUPPORT,10546779,529,10546779|25413327|36651210
"Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.",REFUTE,10546779,530,10546779|25413327|36651210
Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,SUPPORT,10546779,531,10546779|25413327|36651210
Hypocretin neurones suppress panicprone state in rats.,REFUTE,16056514,537,16056514
Hypothalamic glutamate neurotransmission is unrelated to energy balance.,REFUTE,45154987,541,45154987|11886686
"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.",REFUTE,19688024,542,19688024
IFIT1 speeds viral replication by allowing for the proliferation of mis-capped viral RNAs.,NOT_ENOUGH_INFO,24221369,545,
IL-10 production by monocytes inhibits CD4 + T cell response.,SUPPORT,10648422,547,10648422
IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,SUPPORT,18199839,548,18199839
ITAM phosphorylation allows for the transfer of the T cell receptor (TCR) signal from the echo-domain to the cytoplasmic tail of the T cell receptor (TCR).,NOT_ENOUGH_INFO,33499189,550,
IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,REFUTE,1471041,553,1471041
Immune complex triggered cell death leads to extracellular release of nuclear DNA.,NOT_ENOUGH_INFO,1049501,555,
Immune complex triggered cell death leads to sequestration of oxidized mitochondrial DNA.,NOT_ENOUGH_INFO,1049501,557,
Immune responses in immune cells are geographically segregated.,SUPPORT,3475317,559,3475317
Improvements in OER catalysts show stable activity over several hundred hours.,SUPPORT,20101846,562,20101846
"In British Men, haplogroup I decreases risk of cardiovascular disease.",REFUTE,2867345,563,2867345
"In British Men, haplogroup I increases risk of cardiovascular disease by 50%.",SUPPORT,2867345,564,2867345
"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.",SUPPORT,16120395,565,16120395
"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.",REFUTE,16120395,566,16120395
"In a naive state, blocking Wingless-Int-1 secretion from mouse embryonic stem cells inhibits self-renewal of the mouse embryonic stem cells.",SUPPORT,23418635,568,23418635
"In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.",SUPPORT,20333864,570,20333864
"In breast cancer, the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.",REFUTE,20333864,571,20333864
"In chronic viral infections or tumors, peptides that selectively inhibit PTPRS can be utilized to boost insufficient activity of pDCs.",NOT_ENOUGH_INFO,4447055,572,
"In domesticated populations of Saccharomyces cerevisiae, segmental aneuploidy is very common.",NOT_ENOUGH_INFO,10300888,573,
"In domesticated populations of Saccharomyces cerevisiae, segmental aneuploidy occurs infrequently.",NOT_ENOUGH_INFO,10300888,574,
"In melanoma, anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.",SUPPORT,4468861,576,4468861
"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.",REFUTE,34139429,579,34139429
"In pediatric tissue, most T cells are naive T cell emigrants from the thymus.",SUPPORT,23460562,580,23460562
"In rhesus macaques, daily subcutaneous injections of emtricitabine are ineffective at protecting against rectally transmitted simian-human immunodeficiency virus.",NOT_ENOUGH_INFO,14260013,582,
"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.",SUPPORT,14260013,584,14260013
"In the UK, drowning affects boys and girls equally.",NOT_ENOUGH_INFO,42291761,585,
"In transgenic mice harboring green florescent protein under the control of the Sox2 promoter, more than 50 percent of the cells with green florescent colocalize with cell proliferation markers.",NOT_ENOUGH_INFO,16999023,588,
"In young and middle-aged adults, current or remote uses of ADHD medications increase the risk of serious cardiovascular events.",REFUTE,10984005,590,10984005
Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.,SUPPORT,14682243,591,14682243
Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,REFUTE,14682243,592,14682243
Incidence of heart failure increased by 10% in women since 1979.,REFUTE,19675911,594,19675911
Incidence of sepsis has fallen substantially from 2009 to 2014.,REFUTE,4824840,595,4824840
Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,REFUTE,12258338,600,12258338
Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).,SUPPORT,12258338,601,12258338
Increase of p62 in prostate tumor stroma results in defective autophagy.,NOT_ENOUGH_INFO,3701541,602,
Increased LDL receptors plays a role in the reduction of plasma Lp(a).,SUPPORT,6540064,603,6540064
Increased conversion of PGE 2 to PPARy ligand 15-ket-PGE 2 causes accumulation of PGE.,NOT_ENOUGH_INFO,712078,606,
Increased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,SUPPORT,4506414,607,4506414
Increased flux of microbial products provokes immune responses.,NOT_ENOUGH_INFO,40096222,609,
Increased flux of microbial products suppresses immune responses.,NOT_ENOUGH_INFO,40096222,610,
Increased lipolysis leads to higher P38 phosphorylation in adipose tissue.,NOT_ENOUGH_INFO,32408470,611,
Increased microtubule acetylation exacerbates LRRK2 Roc-COR domain mutation induced locomotor deficits.,REFUTE,9638032,612,9638032
Increased microtubule acetylation repairs interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,SUPPORT,9638032,614,9638032
Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,REFUTE,9638032,615,9638032
Increased mobility of retrotransposons does not lead to mutation and higher tumorigenesis rates.,NOT_ENOUGH_INFO,18670,616,
Increased mobility of retrotransposons is assosciated with mutation and higher tumorigenesis rates.,NOT_ENOUGH_INFO,18670,617,
Increased purity of cytoplasmic membranes isolated from overexpressors is indicated by stronger spots for OmpF in 2D BN-PAGE gels.,NOT_ENOUGH_INFO,6836086,618,
Increased vessel density along with a reduction in fibrosis improves the efficacy of chemotherapy treatments.,NOT_ENOUGH_INFO,2565138,620,
Individuals with Alzheimers who participate in six months of physical activity improve cognitive function for up to 18 months.,SUPPORT,1642727,621,1642727
Individuals with low serum vitamin D concentrations have decreased risk of multiple sclerosis.,NOT_ENOUGH_INFO,17000834,622,
Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,SUPPORT,20033112,624,20033112
Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,SUPPORT,20033112,625,20033112
Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.,SUPPORT,16355392,626,16355392
Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,SUPPORT,5468807,631,5468807
Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.,REFUTE,5172048,632,5172048
Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,REFUTE,5172048,633,5172048
Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.,REFUTE,1686997,635,1686997
Input from  mental and physical health care professionals is not effective at decreasing homelessness.,NOT_ENOUGH_INFO,25649714,638,
"Inside the body, falciparum parasites reproduce asexually.",SUPPORT,6503185,640,6503185
Insulin decreases risk of severe kidney failure.,NOT_ENOUGH_INFO,13619127,642,
Insulin effects appetite via ventral tegmental neurons.,SUPPORT,15535511,643,15535511
Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,REFUTE,12810152,645,12810152
Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,SUPPORT,12810152,646,12810152
Integrated care is ineffective at tackling multiple comorbidities.,REFUTE,15041758,647,15041758
Integrated care is successful at tackling multiple comorbidities.,SUPPORT,15041758,648,15041758
Integrating classroom-based collaborative learning with Web-based collaborative learning offers the best class performance.,NOT_ENOUGH_INFO,12789595,650,
"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 encourage West Nile virus replication in cortical neurons.",NOT_ENOUGH_INFO,9433958,651,
"Interferon stimulated genes (ISGs) Irf1, Irg1, Ifi27, and Rsad2 inhibit West Nile virus replication in cortical neurons.",NOT_ENOUGH_INFO,9433958,652,
Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,SUPPORT,24384587,653,24384587
Intra-cerebroventricular infusion of amyloid-β oligomers increases expression of fibronectin type-III domain-containing protein 5 mRNA in mice hippocampi.,NOT_ENOUGH_INFO,57574395,654,
Intra-cerebroventricular infusion of amyloid-β oligomers reduces expression of fibronectin type-III domain-containing protein 5 mRNA in mice hippocampi.,NOT_ENOUGH_INFO,57574395,655,
Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.,SUPPORT,8533245,657,8533245
It is not proven that moderate consumption of candy and chocolate reduces the risk of cardiovascular disease (CVD) specifically.,NOT_ENOUGH_INFO,5293024,658,
JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.,SUPPORT,37204802,661,37204802
JMJD6 slows the hydroxylation of C-terminal lysine,REFUTE,37204802,662,37204802
KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.,SUPPORT,22080671,663,22080671
KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,SUPPORT,12580014,665,12580014
Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.,SUPPORT,4469125,666,4469125
Klf2 is important for proper myeloid cell function.,SUPPORT,6493422,667,6493422
Klf4 is important for proper myeloid cell differentiation.,SUPPORT,6493422,668,25148216
Klf4 is not required for proper myeloid cell differentiation.,REFUTE,6493422,669,25148216
Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.,SUPPORT,5573975,670,5573975
Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.,SUPPORT,5573975,671,5573975
L3MBTL2 binds to H2AK119Ub marked chromatin to form a PRC1 complex.,NOT_ENOUGH_INFO,15635366,672,
LDL cholesterol has a causal role in the development of cardiovascular disease.,SUPPORT,2095573,673,2095573
LRBA prevents CTLA - 4 recycling.,NOT_ENOUGH_INFO,857189,676,
LRBA promotes CTLA - 4 recycling.,NOT_ENOUGH_INFO,857189,677,
LSD1-positive promoters are associated with RNA polymerase II,NOT_ENOUGH_INFO,13639330,679,
Lack of FGF21 in mice increases life expectancy.,REFUTE,9315213,680,9315213
Lack of FGF21 in mice leads to atherosclerotic plaque formation.,SUPPORT,9315213,681,9315213
Lack of FGF21 in mice leads to reduced lifespan.,SUPPORT,9315213,682,9315213
Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.,REFUTE,9315213,683,9315213
Lamins are associated with nuclear membrane structure maintenance.,NOT_ENOUGH_INFO,4452659,685,
Lamins are found within the inner layer of the mitochondrial membrane of all cells.,NOT_ENOUGH_INFO,4452659,686,
Lamins are found within the inner layer of the nuclear membrane of all cells.,NOT_ENOUGH_INFO,4452659,687,
Lamins have no effect on nuclear membrane structure maintenance.,NOT_ENOUGH_INFO,4452659,688,
Less than 10% of patients exposed to radiation have activated markers of mesenchymal stem cells.,NOT_ENOUGH_INFO,22080671,689,
Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,SUPPORT,1071991,694,1071991
Lipopolysaccharides have an inflammation independent effect on kidney barrier function.,NOT_ENOUGH_INFO,16355392,696,
Lmna knock-in models are appropriate for testing therapeutic approaches against Hutchinson-Gilford progeria syndrome (HGPS).,NOT_ENOUGH_INFO,22544171,698,
Localization of PIN1 in the roots of Arabidopsis requires VPS9a,NOT_ENOUGH_INFO,4350400,703,
Long - range chromatin interactions regulate transcription.,NOT_ENOUGH_INFO,14658685,704,
Long chain polyunsaturated fatty acids supplementation has no significant effects on wheezing or asthma at 3 and 6 years.,NOT_ENOUGH_INFO,22442133,705,
Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.,SUPPORT,22442133,709,22442133
Long chain polyunsaturated fatty acids supplementation reduces wheezing and asthma.,NOT_ENOUGH_INFO,22442133,710,
Low expression of miR7a does not repress target genes or exert a biological function in ovaries.,NOT_ENOUGH_INFO,18421962,713,
Low expression of miR7a does not repress target genes or exert a biological function in testis.,NOT_ENOUGH_INFO,18421962,714,
Low nucleosome occupancy correlates with high methylation levels across species.,SUPPORT,17587795,717,17587795
Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.,SUPPORT,5531479,724,5531479
Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.,SUPPORT,7521113,726,36444198
Lysine histone demethylase inhibitor JIB 04 is inactive against KDM5A.,NOT_ENOUGH_INFO,13400643,730,
M. stadtmanae does not induce ASC speck formation in BlaER1 monocytes.,NOT_ENOUGH_INFO,34469966,732,
M. stadtmanae induces ASC speck formation in BlaER1 monocytes.,NOT_ENOUGH_INFO,34469966,733,
MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,SUPPORT,4961038,734,4961038
MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.,SUPPORT,5389095,736,5389095
MICAL redox enzymes regulate actin dynamics in many cell types.,SUPPORT,16562534,737,16562534|6609935
MICAL redox enzymes regulate actin dynamics.,SUPPORT,16562534,738,16562534|6609935|33912020
MT binding domain drives amyloid structure formation.,NOT_ENOUGH_INFO,4446814,739,
MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,SUPPORT,23078022,740,23078022
MafA phosphorylation decreases its ubiquitination.,REFUTE,11291348,745,11291348
MafA phosphorylation enhances its ubiquitination.,SUPPORT,11291348,746,11291348
MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.,REFUTE,11291348,747,11291348
MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.,SUPPORT,11291348,748,11291348
Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.,SUPPORT,13868795,749,13868795
Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,SUPPORT,19800147,751,19800147
Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.,SUPPORT,19800147,752,19800147
Malaria has a high vectorial capacity.,NOT_ENOUGH_INFO,1173667,753,
Many cytokines that are produced by cancer cells also contribute to carcinogenesis.,NOT_ENOUGH_INFO,17844478,755,
Many transmembrane receptors transmit signals by long-range conformational changes in the association of alpha-helices across the plasma membrane.,NOT_ENOUGH_INFO,17123657,757,
Marmosets have a brain region homologous to Broca's area.,NOT_ENOUGH_INFO,14195528,758,
Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.,SUPPORT,1805641,760,1805641
MeCP2 influences the synaptic maturation of neurons.,NOT_ENOUGH_INFO,10009203,761,
Measuring routine outcomes is more beneficial to clinical practice than assessing treatment adherence.,NOT_ENOUGH_INFO,4695046,762,
Medications to treat obesity are highly effective.,REFUTE,7552215,764,7552215
Medications to treat obesity do not have side effects.,REFUTE,7552215,765,7552215
Medications to treat obesity have unwanted side effects.,SUPPORT,7552215,766,7552215
Men are more susceptible to death due to pneumonia when compared to women.,REFUTE,2488880,767,2488880
Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,REFUTE,15476777,771,15476777
Mice are incapable of producing neutralizing antibodies in reponse to the Chikungunya virus (CHIKV) produced in mosquitos.,REFUTE,24922825,772,24922825
Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) fail to reveal increased sensitivity to ionizing radiation (IR).,NOT_ENOUGH_INFO,32275758,774,
Mice defective for deoxyribonucleic acid (DNA) polymerase m (polm) fail to reveal increased sensitivity to ionizing radiation (IR).,NOT_ENOUGH_INFO,32275758,776,
Mice defective for deoxyribonucleic acid (DNA) polymerase m (polm) reveal increased sensitivity to ionizing radiation (IR).,NOT_ENOUGH_INFO,32275758,777,
Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,REFUTE,13001323,778,13001323
Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,SUPPORT,13001323,779,13001323
Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,SUPPORT,8246922,780,8246922|24338780
Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.,SUPPORT,8246922,782,8246922
Microcin J25 encourages nucleoside triphosphate (NTP) binding.,REFUTE,4740447,787,4740447
Microcin J25 inhibits nucleoside triphosphate (NTP) binding.,SUPPORT,4740447,788,4740447
Microglia are an innate immune cell type of the central nervous system.,SUPPORT,15493354,789,15493354
Microglia are an innate immune cell type of the peripheral nervous system.,REFUTE,15493354,790,15493354
Migraine with aura is associated with ischemic stroke.,SUPPORT,15984735,791,15984735
Misunderstandings between doctors and patients can lead to non-adherence.,SUPPORT,3610080,792,3610080
Mitochondria play a major role in apoptosis.,SUPPORT,8551160,795,8551160
Mitochondria play a major role in energy production.,SUPPORT,8551160,797,8551160
Mitochondria play a trivial role in calcium homeostasis.,REFUTE,8551160,798,8551160
Moderate consumption of candy and chocolate reduces the risk of cardiovascular disease (CVD).,NOT_ENOUGH_INFO,5293024,799,
Monoclonal antibody targeting of N-cadherin encourages castration resistance.,REFUTE,22180793,801,22180793
Monoclonal antibody targeting of N-cadherin encourages metastasis.,REFUTE,22180793,802,22180793
Monoclonal antibody targeting of N-cadherin inhibits castration resistance.,SUPPORT,22180793,803,22180793
Monoclonal antibody targeting of N-cadherin inhibits growth.,SUPPORT,22180793,804,22180793
Most termination events in Okazaki fragments are dictated by initiation patterns.,SUPPORT,36606083,807,36606083
"Mouse models can be generated using ""artificial spermatids.""",SUPPORT,13513790,810,13513790
Mutant mice lacking SVCT2 have severely reduced ascorbic acid levels in both brain and adrenals.,SUPPORT,19799455,812,19799455
"Mutations in G-Beta protein GNB1 are present in many cancers, resulting in loss of interaction with G-alpha subunits and concomitant activation of AKT pathway.",NOT_ENOUGH_INFO,33387953,813,
Mutations in RIM1 decrease levels of IME1 RNA.,SUPPORT,8148304,815,8148304
Mutations in RIM1 raise levels of IME1 RNA.,REFUTE,8148304,816,8148304
Myelin sheaths are lipid-rich cellular structures.,NOT_ENOUGH_INFO,17814815,817,
Myelin sheaths play a role in action potential propagation.,SUPPORT,17814815,818,17814815
N348I mutations cause resistance to nevirapine.,SUPPORT,15319019,822,15319019
N348I mutations reduce resistance to nevirapine.,REFUTE,15319019,825,15319019
NAC destabilizes NO to increase the effect of contrast agents on renal functions.,NOT_ENOUGH_INFO,4678846,826,
NAC inhibits the generation of angiotensin-converting enzyme.,NOT_ENOUGH_INFO,4678846,828,
NR5A2 does not play a role in development of endometrial tissues.,REFUTE,15928989,835,15928989
NR5A2 is important in reverse cholesterol transport in humans.,NOT_ENOUGH_INFO,15928989,838,
Natriuretic peptides increase susceptibility to diabetes.,REFUTE,15663829,840,15663829
Natriuretic peptides protect against diabetes.,SUPPORT,15663829,841,15663829
Neutrophil extracellular trap (NET) antigens may contain the targeted autoantigens PR3 and MPO.,SUPPORT,17741440,844,17741440
Neutrophils produce IL-1β in response to large particles.,SUPPORT,22696649,846,22696649
Nigerian physicians constitue the largest component of sub-Saharan Africa-trained physicians in the United States.,NOT_ENOUGH_INFO,14500725,848,
Nonhuman primates are incapable of producing neutralizing antibodies in reponse to the Eilat virus (EILV) produced in mosquitos.,REFUTE,24922825,853,24922825
Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,SUPPORT,12206390,854,12206390
Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,REFUTE,8190282,855,8190282
Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,REFUTE,43334921,856,43334921
Nonsteroidal antinflammatory drugs show potential anticancer indications.,SUPPORT,43334921,857,43334921
Normal expression of RUNX1 causes tumorsupressing effects.,SUPPORT,1982286,858,1982286
Normal granulomas form in the absence of TNF in Zebrafish.,SUPPORT,16066726,860,16066726
Normal granulomas form in the presence of TNF in Zebrafish.,REFUTE,16066726,861,16066726
Notch signaling occurs between tumor cells and stromal cells.,SUPPORT,20568364,863,20568364|16361581
Nuclear transfer from adult human fibroblasts to human oocytes can give rise to blastocysts containing expandable pluripotent cells.,NOT_ENOUGH_INFO,37822406,866,
Oat tolerant coeliac patients may have oat specific inflammatory cells in their small bowel mucosa.,SUPPORT,14340571,867,14340571
Obesity decreases life quality.,NOT_ENOUGH_INFO,195689316,871,
Obesity raises life quality.,NOT_ENOUGH_INFO,195689316,876,
Occipital activation levels are associated with auditory spatial performance in parietal regions of the brain.,NOT_ENOUGH_INFO,313394,877,
Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegans.,REFUTE,14803797,881,14803797
Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegans.,SUPPORT,14803797,883,14803797
Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegetarians.,SUPPORT,14803797,884,14803797
One in five surgical randomized controlled trials are discontinued early.,SUPPORT,6477536,885,6477536
One in two surgical randomized controlled trials are discontinued early.,REFUTE,6477536,886,6477536
Origin gross domestic product(GDP) is negatively related to dengue virus (DENV-1) diffusion in air traffic shipments.,NOT_ENOUGH_INFO,2097256,890,
Origin gross domestic product(GDP) is positively related to dengue virus (DENV-1) diffusion in air traffic shipments.,NOT_ENOUGH_INFO,2097256,891,
Osteocytes have an essential role in G-CSF induced HSPC mobilization.,SUPPORT,13509809,893,13509809
"Osteoparthritis (OA) is characterized by degeneration of articular cartilage, joint edge, and subchondral bone hyperplasia.",NOT_ENOUGH_INFO,14724693,894,
Over half of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.,NOT_ENOUGH_INFO,18750453,895,
Overexpressing Cnp1 N-tail variants exacerbates the temperature-sensitive growth defect of scm3-139.,NOT_ENOUGH_INFO,14338915,896,
Overexpressing Cnp1 N-tail variants rescues the temperature-sensitive growth defect of scm3-139.,NOT_ENOUGH_INFO,14338915,897,
Oxidative DNA damage activates STING signalling.,NOT_ENOUGH_INFO,13106686,898,
Oxidative DNA damage inhibits STING signalling.,NOT_ENOUGH_INFO,13106686,899,
Oxidative phosphorylation is one of the primary glycometabolic pathways in cells.,NOT_ENOUGH_INFO,18678095,900,
PCSK9 inhibitors decrease plasma Lp(a) levels.,SUPPORT,6540064,901,6540064
PD-1 triggering on monocytes enhances IL-10 production by monocytes.,SUPPORT,10648422,902,10648422
PGE 2 suppresss intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.,NOT_ENOUGH_INFO,6923961,908,
PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.,REFUTE,11254556,909,11254556
PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.,REFUTE,11254556,910,11254556
PKG-la plays an essential role in expression of spinal long term potentiation in PGK-la knockout mice.,SUPPORT,11254556,912,11254556
PRC1-bound plasmids sediment at a slower rate in unbound plasmids than in sucrose gradients.,NOT_ENOUGH_INFO,18037805,916,
PTEN is a regulator for the transcriptional activity of SRF,SUPPORT,34071621,917,34071621
Participants who quit smoking reduce lung cancer risk by approximately 50%.,SUPPORT,16422880,919,16422880
Patients in stable partnerships have a slower progression from HIV to AIDS.,SUPPORT,17077004,923,17077004
